"Code","Name","Region","State","short_name"
"00","Maine","","Maine","D. Maine"
"47","Ohio - Northern","Northern","Ohio","N.D. Ohio"
"01","Massachusetts","","Massachusetts","D. Massachusetts"
"48","Ohio - Southern","Southern","Ohio","S.D. Ohio"
"02","New Hampshire","","New Hampshire","D. New Hampshire"
"49","Tennessee - Eastern","Eastern","Tennessee","E.D. Tennessee"
"03","Rhode Island","","Rhode Island","D. Rhode Island"
"50","Tennessee - Middle","Middle","Tennessee","M.D. Tennessee"
"04","Puerto Rico","","Puerto Rico","D. Puerto Rico"
"51","Tennessee - Western","Western","Tennessee","W.D. Tennessee"
"05","Connecticut","","Connecticut","D. Connecticut"
"52","Illinois - Northern","Northern","Illinois","N.D. Illinois"
"06","New York - Northern","Northern","New York","N.D. New York"
"53","Illinois - Central","Central","Illinois","C.D. Illinois"
"07","New York - Eastern","Eastern","New York","E.D. New York"
"54","Illinois - Southern","Southern","Illinois","S.D. Illinois"
"08","New York - Southern","Southern","New York","S.D. New York"
"55","Indiana - Northern","Northern","Indiana","N.D. Indiana"
"09","New York - Western","Western","New York","W.D. New York"
"56","Indiana - Southern","Southern","Indiana","S.D. Indiana"
"10","Vermont","","Vermont","D. Vermont"
"57","Wisconsin - Eastern","Eastern","Wisconsin","E.D. Wisconsin"
"11","Delaware","","Delaware","D. Delaware"
"58","Wisconsin - Western","Western","Wisconsin","W.D. Wisconsin"
"12","New Jersey","","New Jersey","D. New Jersey"
"60","Arkansas - Eastern","Eastern","Arkansas","E.D. Arkansas"
"13","Pennsylvania - Eastern","Eastern","Pennsylvania","E.D. Pennsylvania"
"61","Arkansas - Western","Western","Arkansas","W.D. Arkansas"
"14","Pennsylvania - Middle","Middle","Pennsylvania","M.D. Pennsylvania"
"62","Iowa - Northern","Northern","Iowa","N.D. Iowa"
"15","Pennsylvania - Western","Western","Pennsylvania","W.D. Pennsylvania"
"63","Iowa - Southern","Southern","Iowa","S.D. Iowa"
"16","Maryland","","Maryland","D. Maryland"
"64","Minnesota","","Minnesota","D. Minnesota"
"17","North Carolina - Eastern","Eastern","North Carolina","E.D. North Carolina"
"65","Missouri - Eastern","Eastern","Missouri","E.D. Missouri"
"18","North Carolina - Middle","Middle","North Carolina","M.D. North Carolina"
"66","Missouri - Western","Western","Missouri","W.D. Missouri"
"19","North Carolina - Western","Western","North Carolina","W.D. North Carolina"
"67","Nebraska","","Nebraska","D. Nebraska"
"20","South Carolina","","South Carolina","D. South Carolina"
"68","North Dakota","","North Dakota","D. North Dakota"
"22","Virginia - Eastern","Eastern","Virginia","E.D. Virginia"
"69","South Dakota","","South Dakota","D. South Dakota"
"23","Virginia - Western","Western","Virginia","W.D. Virginia"
"7-","Alaska","","Alaska","D. Alaska"
"24","West Virginia - Northern","Northern","West Virginia","N.D. West Virginia"
"70","Arizona","","Arizona","D. Arizona"
"25","West Virginia - Southern","Southern","West Virginia","S.D. West Virginia"
"71","California - Northern","Northern","California","N.D. California"
"26","Alabama - Northern","Northern","Alabama","N.D. Alabama"
"72","California - Eastern","Eastern","California","E.D. California"
"27","Alabama - Middle","Middle","Alabama","M.D. Alabama"
"73","California - Central","Central","California","C.D. California"
"28","Alabama - Southern","Southern","Alabama","S.D. Alabama"
"74","California - Southern","Southern","California","S.D. California"
"29","Florida - Northern","Northern","Florida","N.D. Florida"
"75","Hawaii","","Hawaii","D. Hawaii"
"3A","Florida - Middle","Middle","Florida","M.D. Florida"
"76","Idaho","","Idaho","D. Idaho"
"3C","Florida - Southern","Southern","Florida","S.D. Florida"
"77","Montana","","Montana","D. Montana"
"3E","Georgia - Northern","Northern","Georgia","N.D. Georgia"
"78","Nevada","","Nevada","D. Nevada"
"3G","Georgia - Middle","Middle","Georgia","M.D. Georgia"
"79","Oregon","","Oregon","D. Oregon"
"3J","Georgia - Southern","Southern","Georgia","S.D. Georgia"
"80","Washington - Eastern","Eastern","Washington","E.D. Washington"
"3L","Louisiana - Eastern","Eastern","Louisiana","E.D. Louisiana"
"81","Washington - Western","Western","Washington","W.D. Washington"
"3N","Louisiana - Middle","Middle","Louisiana","M.D. Louisiana"
"82","Colorado","","Colorado","D. Colorado"
"36","Louisiana - Western","Western","Louisiana","W.D. Louisiana"
"83","Kansas","","Kansas","D. Kansas"
"37","Mississippi - Northern","Northern","Mississippi","N.D. Mississippi"
"84","New Mexico","","New Mexico","D. New Mexico"
"38","Mississippi - Southern","Southern","Mississippi","S.D. Mississippi"
"85","Oklahoma - Northern","Northern","Oklahoma","N.D. Oklahoma"
"39","Texas - Northern","Northern","Texas","N.D. Texas"
"86","Oklahoma - Eastern","Eastern","Oklahoma","E.D. Oklahoma"
"40","Texas - Eastern","Eastern","Texas","E.D. Texas"
"87","Oklahoma - Western","Western","Oklahoma","W.D. Oklahoma"
"41","Texas - Southern","Southern","Texas","S.D. Texas"
"88","Utah","","Utah","D. Utah"
"42","Texas - Western","Western","Texas","W.D. Texas"
"89","Wyoming","","Wyoming","D. Wyoming"
"43","Kentucky - Eastern","Eastern","Kentucky","E.D. Kentucky"
"90","District of Columbia","","District of Columbia","District of Columbia"
"44","Kentucky – Western","","Kentucky – Western","D. Kentucky – Western"
"91","Virgin Islands","","Virgin Islands","D. Virgin Islands"
"45","Michigan - Eastern","Eastern","Michigan","E.D. Michigan"
"93","Guam","","Guam","D. Guam"
"46","Michigan - Western","Western","Michigan","W.D. Michigan"
"94","Northern Mariana Islands","","Northern Mariana Islands","D. Northern Mariana Islands"
"-8","Missing data","","Missing data","D. Missing data"
